english	swahili
leave	kuacha
order	kuagiza
tell	kuambia
believe	kuamini
awaken	kuamka
decide	kuamua
prepare	kuanda
write	kuandika
look	kuangalia
fall	kuanguka
start	kuanza
exchange	kubadilishana
carry	kubeba
disagree	kubisha
choose	kuchagua
mix	kuchanganya
laugh	kucheka
be late	kuchelewa
boil	kuchemsha
play	kucheza
tire	kuchoka
hate	kuchukia
take	kuchukua
go	kuelekea
understand	kuelewa
explain	kueleza
continue	kuendelea
drive	kuendesha
die	kufa
be suitable	kufaa
resemble	kufanana
happen	kufanyika
do	kufanya
die	kufariki
arrive	kufika
arrive at	kufikia
think	kufikiri
think about	kufikiria
close	kufunga
open	kufungua
teach	kufunza
be happy	kufurahi
share	kugawana
argue	kugombana
touch	kugusa
confirm	kuhakikisha
feel	kuhisi
need	kuhitaji
steal	kuiba
sing	kuimba
enter	kuingia
end	kuisha
live	kuishi
be named	kuitwa
come	kuja
care	kujali
try	kujaribu
build	kujenga
answer	kujibu
learn	kujifunza
improve	kujitahidi
know	kujua
stay	kukaa
fry	kukaanga
approach	kukaribia
be angry	kukasirika
cut	kukata
run	kukimbia
kiss	kukisi
rent	kukodisha
rent	kukodishwa
lose weight	kukonda
be wrong	kukosea
agree	kukubali
grow up	kukulia
remember	kukumbuka
remind	kukumbusha
eat	kula
sleep	kulala
bring	kuleta
cry	kulia
pay	kulipa
mean	kumaanisha
finish	kumaliza
put on weight	kunenepa
buy	kununua
drink	kunywa
swim	kuogelea
fear	kuogopa
request	kuomba
see	kuona
depart	kuondoka
resemble	kuonekana
speak	kuongea
add	kuongeza
taste	kuonja
show	kuonyesha
wash	kuosha
give	kupa
plan	kupanga
get	kupata
take	kupeleka
love	kupenda
prefer	kupendelea
look great	kupendeza
cook	kupika
turn	kupinda
pass	kupita
visit	kupitia
receive	kupokea
be lost	kupotea
lose	kupoteza
rest	kupumzika
reduce	kupunguza
repair	kurekebisha
report	kuripoti
return	kurudi
allow	kuruhusu
jump	kuruka
clean	kusafisha
forget	kusahau
help	kusaidia
pray	kusali
say	kusema
be full	kushiba
share	kushiriki
be shocked	kushtuka
recommend	kusifia
hear	kusikia
listen	kusikiliza
stop	kusimama
read	kusoma
study	kusomea
be required	kustahili
relax	kustarehe
wait	kusubiri
worry	kusumbuka
look for	kutafuta
want	kutaka
wish	kutamani
realize	kutambua
expect	kutarajia
watch	kutazama
plan	kutegemea
walk	kutembea
visit	kutembelea
make	kutengeneza
subtract	kutoa
come from	kutoka
suffice	kutosha
send	kutuma
hope	kutumaini
use	kutumia
kill	kuua
ask	kuuliza
bite	kuuma
be sick	kuumwa
sell	kuuza
wear	kuvaa
cross	kuvuka
break	kuvunja
communicate	kuwasiliana
turn on	kuwasha
think	kuwaza
put	kuweka
be able	kuweza
be born	kuzaliwa
turn off	kuzima
be used to	kuzoea
converse	kuzungumza
go	kwenda
finish	kwisha
